Question,Option A,Option B,Option C,Option D,Answer
ICT stands for __________.,,,,,Information and Communication Technology
Which of these is a physical part of a computer?,A. Software,B. CPU,C. Hardware,D. Paint,C
The instructions that tell the hardware what to do are called __________.,,,,,Software
Which of these is an input device?,A. Monitor,B. Speaker,C. Keyboard,D. Printer,C
Which device shows what we are doing on the computer screen?,A. Mouse,B. Monitor,C. Keyboard,D. Scanner,B
The brain of the computer is called the __________.,,,,,CPU
Hardware includes the following except:,A. Mouse,B. Monitor,C. Paint,D. Printer,C
An example of software is __________.,,,,,Microsoft Word
Which of these is an output device?,A. Mouse,B. Keyboard,C. Printer,D. Scanner,C
ICT means using technology to handle and share __________.,,,,,Information
A file is a collection of __________.,,,,,Data or information
A folder is also called a __________.,,,,,Directory
Which of the following is a document file type?,A. .jpg,B. .docx,C. .mp3,D. .mp4,B
Which file type is used for pictures?,A. .pdf,B. .png,C. .mp3,D. .pptx,B
What file extension is used for music?,A. .jpg,B. .mp3,C. .docx,D. .pdf,B
"To create a new folder, you right-click, choose __________, then Folder.",,,,,New
"To rename a file, right-click and select __________.",,,,,Rename
"When a file is deleted, it goes into the __________.",,,,,Recycle Bin
"To move a file, click, hold, and __________ it to another folder.",,,,,Drag
Which of these is a video file type?,A. .mp4,B. .docx,C. .png,D. .pdf,A
A keyboard shortcut helps you perform a task more __________.,,,,,Quickly
Ctrl + C is used to __________.,A. Cut,B. Copy,C. Paste,D. Save,B
Ctrl + V is used to __________.,A. Paste,B. Copy,C. Undo,D. Save,A
Ctrl + X is used to __________.,A. Cut,B. Copy,C. Paste,D. Select All,A
Ctrl + Z is used to __________ the last action.,,,,,Undo
Ctrl + S helps you to __________ your work.,,,,,Save
Ctrl + A is used to __________ all text or items.,,,,,Select
Alt + Tab helps to switch between __________.,,,,,Open applications
Windows Key + D shows or hides the __________.,,,,,Desktop
Keyboard shortcuts make working on the computer more __________.,,,,,Efficient
The Internet is a global network that connects __________.,,,,,Millions of computers
The Internet is also called the __________.,,,,,Web
A website is a collection of related __________.,,,,,Web pages
The unique address of a website is called a __________.,,,,,URL
Which of these is a search engine?,A. Facebook,B. Google,C. WhatsApp,D. YouTube,B
Which of the following is an example of a website?,A. www.wikipedia.org,B. .mp3,C. Desktop,D. CPU,A
You can send and receive __________ using the Internet.,,,,,Emails
Watching educational videos online is a benefit of using the __________.,,,,,Internet
It is important to use social media with __________.,,,,,Adult supervision
Playing online games should be done with __________.,,,,,Permission
